TOWER,FLOOR,APARTMENT NO.,AREA,FACING,CORNER,TYPE
A,1,101,1938,East,NO,3 BHK
A,1,102,2751,West,YES,4 BHK
A,1,103,2751,West,YES,4 BHK
A,1,104,1733,North,NO,3 BHK
A,1,105,1733,North,NO,3 BHK
A,1,106,2751,East,YES,4 BHK
A,1,107,2751,East,YES,4 BHK
A,1,108,1938,West,NO,3 BHK
A,2,201,1938,East,NO,3 BHK
A,2,202,2751,West,YES,4 BHK
A,2,203,2751,West,YES,4 BHK
A,2,204,1733,North,NO,3 BHK
A,2,205,1733,North,NO,3 BHK
A,2,206,2751,East,YES,4 BHK
A,2,207,2751,East,YES,4 BHK
A,2,208,1938,West,NO,3 BHK
A,3,301,1938,East,NO,3 BHK
A,3,302,2751,West,YES,4 BHK
A,3,303,2751,West,YES,4 BHK
A,3,304,1733,North,NO,3 BHK
A,3,305,1733,North,NO,3 BHK
A,3,306,2751,East,YES,4 BHK
A,3,307,2751,East,YES,4 BHK
A,3,308,1938,West,NO,3 BHK
A,4,401,1938,East,NO,3 BHK
A,4,402,2751,West,YES,4 BHK
A,4,403,2751,West,YES,4 BHK
A,4,404,1733,North,NO,3 BHK
A,4,405,1733,North,NO,3 BHK
A,4,406,2751,East,YES,4 BHK
A,4,407,2751,East,YES,4 BHK
A,4,408,1938,West,NO,3 BHK
A,5,501,1938,East,NO,3 BHK
A,5,502,2751,West,YES,4 BHK
A,5,503,2751,West,YES,4 BHK
A,5,504,1733,North,NO,3 BHK
A,5,505,1733,North,NO,3 BHK
A,5,506,2751,East,YES,4 BHK
A,5,507,2751,East,YES,4 BHK
A,5,508,1938,West,NO,3 BHK
A,6,601,1938,East,NO,3 BHK
A,6,602,2751,West,YES,4 BHK
A,6,603,2751,West,YES,4 BHK
A,6,604,1733,North,NO,3 BHK
A,6,605,1733,North,NO,3 BHK
A,6,606,2751,East,YES,4 BHK
A,6,607,2751,East,YES,4 BHK
A,6,608,1938,West,NO,3 BHK
A,7,701,1938,East,NO,3 BHK
A,7,702,2751,West,YES,4 BHK
A,7,703,2751,West,YES,4 BHK
A,7,704,1733,North,NO,3 BHK
A,7,705,1733,North,NO,3 BHK
A,7,706,2751,East,YES,4 BHK
A,7,707,2751,East,YES,4 BHK
A,7,708,1938,West,NO,3 BHK
A,8,801,1938,East,NO,3 BHK
A,8,802,2751,West,YES,4 BHK
A,8,803,2751,West,YES,4 BHK
A,8,804,1733,North,NO,3 BHK
A,8,805,1733,North,NO,3 BHK
A,8,806,2751,East,YES,4 BHK
A,8,807,2751,East,YES,4 BHK
A,8,808,1938,West,NO,3 BHK
A,9,901,1938,East,NO,3 BHK
A,9,902,2751,West,YES,4 BHK
A,9,903,2751,West,YES,4 BHK
A,9,904,1733,North,NO,3 BHK
A,9,905,1733,North,NO,3 BHK
A,9,906,2751,East,YES,4 BHK
A,9,907,2751,East,YES,4 BHK
A,9,908,1938,West,NO,3 BHK
A,10,1001,1938,East,NO,3 BHK
A,10,1002,2751,West,YES,4 BHK
A,10,1003,2751,West,YES,4 BHK
A,10,1004,1733,North,NO,3 BHK
A,10,1005,1733,North,NO,3 BHK
A,10,1006,2751,East,YES,4 BHK
A,10,1007,2751,East,YES,4 BHK
A,10,1008,1938,West,NO,3 BHK
A,11,1101,1938,East,NO,3 BHK
A,11,1102,2751,West,YES,4 BHK
A,11,1103,2751,West,YES,4 BHK
A,11,1104,1733,North,NO,3 BHK
A,11,1105,1733,North,NO,3 BHK
A,11,1106,2751,East,YES,4 BHK
A,11,1107,2751,East,YES,4 BHK
A,11,1108,1938,West,NO,3 BHK
A,12,1201,1938,East,NO,3 BHK
A,12,1202,2751,West,YES,4 BHK
A,12,1203,2751,West,YES,4 BHK
A,12,1204,1733,North,NO,3 BHK
A,12,1205,1733,North,NO,3 BHK
